Nomor Identitias,Nama Stasiun,Merek Mesin,Jenis Konektor,Status Konektor,Status Instalasi,Port,Harga (Rp)
03.ROSO.00.3201.001,SPKLU Shell Rest Area,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
03.ROSO.00.3172.003,SPKLU Shell Pluit,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
03.ROSO.00.3174.011,SPKLU Shell Antasari,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
03.ROSO.00.3174.012,SPKLU Shell Soepomo,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
,Club De Arjuna 22 kW (1),WEEYU/ INJET,AC (Tipe 2),,Beroperasi,1,
01.POSO.00.3171.001,SPKLU PLN Gambir,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3171.002,SPKLU PLN Gambir,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3171.003,SPKLU PLN Gambir,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3174.001,SPKLU PLN Bulungan,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3374.001,SPKLU PLN Semarang,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3671.001,SPKLU Tangcity Mall,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3603.001,SPKLU AEON Mall BSD,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3603.002,SPKLU Supermal Karawaci,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1801.001,SPKLU Rest Area KM 20B,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.7171.001,SPKLU Kawasan Mega Mas Manado,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.01.3175.001,SPKLU Wisma Indomobil 3,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.01.3175.002,SPKLU Wisma Indomobil 3,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3372.001,SPKLU PT PLN (Persero) Surakarta,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1871.001,SPKLU El's Coffee Lampung,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3519.001,SPKLU PLN Rest Area 626 A,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3519.002,SPKLU PLN Rest Area 626 B,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3273.001,SPKLU PLN Bandung Utara,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.7471.001,SPKLU Wuawua 1,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.5315.001,SPKLU L-BAJO 1,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3174.002,SPKLU Kantor DJK ESDM,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3174.003,SPKLU Kantor DJK ESDM,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3275.001,SPKLU Rest Area KM.6 Jakarta - Cikampek,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3174.004,SPKLU PLN Kantor Pusat,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.7371.001,SPKLU PLN UP3 Makassar Selatan,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1471.001,SPKLU PLN UP3 Pekanbaru,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3671.002,SPKLU UID Banten,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.5271.001,SPKLLU PLN UP3 Mataram,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.6372.001,SPKLU PLN UIW Kalselteng,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
02.RLSO.00.3674.001,Kantor Puspiptek Serpong BPPT,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
02.RLSO.00.3174.006,SPBU MT Haryono,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
02.RLSO.00.3174.007,SPBU Lenteng Agung,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
02.RLSO.00.3671.003,SPBU Soekarno Hatta,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.01.3171.004,SPKLU Graha BNI,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.01.3171.005,SPKLU Menara BNI,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.7371.002,PT PLN (Persero) UP3 Makassar Utara ULP Mattoanging,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3174.010,SPKLU RS. Fatmawati Raya,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.5171.008,SPKLU P.B. Sudirman,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3374.002,SPKLU Teuku Umar,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3308.001,SPKLU Kecamatan Borobudur,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3671.005,SPKLU Aeropolis,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1218.001,SPKLU Jend. Sudirman,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1471.002,SPKLU Musyawaeah,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.5371.001,SPKLU W.J Lalamentik,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.02.3171.006,SPKLU Gedung BRI,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.6471.003,SPKLU UIW  Kaltimra,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1208.001,SPKLU ULP Parapat,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1206.001,SPKLU ULP Brastagi,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.6472.002,SPKLU EVC Merak Square,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1372.001,SPKLU PLN UP3 Solok,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.1902.001,SPKLU PLN UP3 Belitung,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.6172.001,SPKLU PLN UP3 Singkawang,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.6474.001,SPKLU PLN UP3 Bontang,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.7371.003,SPKLU Kantor Gubernur Sulsel,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.03.3172.002,SPKLU KFC Artha Gading,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.01.5103.003,SPKLU BNI Crea,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
,SPKLU Rest Area KM 207 A Ruas Palikanci,ABB,CCS2,,Beroperasi,1,
05.ROSO.00.5171.009,SPKLU Utomo Charge+ Juragan Atap Bali,Marvel 72,Mennekes (Tipe 2),available,Tidak Beroperasi,1,
01.POSO.00.5315.004,Parkir Polres Manggarai Barat,Delta,AC (Tipe 2),available,Beroperasi,1,2466.78
02.ROSO.00.3174.005,SPBU Fatmawati 2,Merek Dummy,J1772 (Tipe 1),charging,Beroperasi,1,415
01.POSO.00.1371.007,SPKLU PLN UP3 PADANG,Teison,AC (Tipe 2),finishing,Beroperasi,1,2466.78
07.ROSO.00.3671.006,SPKLU K.H. Hasyim Ashari,Merek Dummy,AC (Tipe 2),available,Beroperasi,1,
12.ROSO.00.5103.006,SPKLU GWK Bali,Tide,Mennekes (Tipe 2),unavailable,Beroperasi,1,
05.ROSO.00.3578.020,SPKLU Utomo Charge+ Wisma SIER,Turbo 600,CCS2,available,Beroperasi,1,
,SPKLU Rest Area KM 207 A Ruas Palikanci,ABB,CHAdeMO,,Beroperasi,2,
06.ROSO.00.3174.013,SPKLU Area Parkir Residence 8,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3671.007,SPKLU Area Parkir Saumata Apartment,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3674.002,SPKLU Area Parkir Saumata Suite Apartment,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.1471.003,SPKLU Complex SKA Mall,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
07.ROSO.00.3671.005,SPKLU K.H. Hasyim Ashari,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,
04.ROSO.00.3175.003,SPKLU Suvarna Jakarta Golf Club,IOC Charger,AC (Tipe 2),finishing,Beroperasi,1,
01.POSO.00.8271.001,SPKLU PLN UP3 TERNATE,Proteksindo,CHAdeMO,,Beroperasi,2,2446.78
08.ROSO.00.3275.002,SPKLU KH. Noer Ali,Daeyoung Chaevi,CCS2,,Tidak Beroperasi,1,
01.POSO.00.6271.001,SPKLU PLN UP3 PALANGKA RAYA,Delta,CHAdeMO,available,Beroperasi,2,2466.78
01.POSO.00.8271.001,SPKLU PLN UP3 TERNATE,Proteksindo,CCS2,,Beroperasi,3,2446.78
01.POSO.00.8271.001,SPKLU PLN UP3 TERNATE,Proteksindo,AC (Tipe 2),available,Beroperasi,1,2446.78
01.POSO.00.5271.002,SPKLU DINAS PERHUBUNGAN PROVINSI NTB,Proteksindo,AC (Tipe 2),available,Beroperasi,1,2466.78
05.ROSO.00.3578.020,SPKLU Utomo Charge+ Wisma SIER,Turbo 600,CCS2,available,Beroperasi,2,
01.POSO.00.3173.045,SPKLU West Hub,SINO,CCS2,charging,Beroperasi,1,2466.78
08.ROSO.00.3175.004,SPKLU Perintis Kemerdekaan,Merek,CCS2,available,Beroperasi,1,
,SPKLU Rest Area KM 7 Serpong,AUTEL,AC (Tipe 2),,Beroperasi,1,2466.78
,SPKLU Rest Area KM 7 Serpong,AUTEL,AC (Tipe 2),,Beroperasi,2,2466.78
,SPKLU Rest Area KM 7 Serpong,DELTA,AC (Tipe 2),,Beroperasi,1,2466.78
,SPKLU PLN UP3 BOGOR,DELTA,Mennekes (Tipe 2),,Beroperasi,1,2466.78
,SPKLU PLN UP3 BOGOR,DELTA,CCS2,,Beroperasi,1,2466.78
,SPKLU PLN UP3 BOGOR,DELTA,CCS2,,Beroperasi,2,2466.78
,SPKLU PLN UID JAKARTA RAYA,AUTEL,Mennekes (Tipe 2),,Beroperasi,1,2466.78
01.POSO.00.3174.008,PLN Jl. RS. Fatmawati Raya,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.5171.001,SPKLU P.B. Sudirman,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.3671.004,SPKLU Aeropolis,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.6471.001,SPKLU UIW  Kaltimra,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.POSO.00.6472.001,SPKLU EVC Merak Square,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.03.3172.001,SPKLU KFC Artha Gading,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
01.PPOO.01.5103.001,"SPKLU BNI Crea,  Benoa",Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
03.ROSO.00.3172.002,SPKLU Shell Pluit,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
03.ROSO.00.3174.009,SPKLU Shell Antasari,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
03.ROSO.00.3174.010,SPKLU Shell Soepomo,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
05.ROSO.00.3578.002,UTOMO Jl. Raya Darmo Permai II,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
05.ROSO.00.5171.002,SPKLU Utomo Charge+ Juragan Atap Bali,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3174.011,DAYAGREEN Area Parkir Residence 8,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3671.006,Lokasi Area Parkir Saumata Apartment,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3374.003,Lokasi Area Parkir Avani Ecopark Semarang,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3374.004,Lokasi Area Parkir Ventura Taman Kuliner Semarang,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3374.005,Lokasi Area Parkir Grand Edge Hotel Semarang,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3374.006,Lokasi Area Parkir Radja Art & Boutique Hotel Semarang,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
06.ROSO.00.3308.002,Lokasi Area Parkir Hotel Sunsetfalls Garden and Resort,Merek Dummy,J1772 (Tipe 1),available,Beroperasi,1,415
