Nomor,Nomor Identitias,Badan Usaha,Nama Stasiun,Skema SPKLU,Provinsi,Kabupaten / Kota,Alamat,Latitude,Longitude,Tanggal Pengajuan,Tanggal Verifikasi,Status Terintegrasi,Total Transaksi,Total Konsumsi Listrik,Total Pendapatan
1,03.ROSO.00.3201.001,PT SHELL INDONESIA,SPKLU Shell Rest Area,ROSO,Jawa Barat,KAB. BOGOR,"SPBU Shell Rest Area, Jagorawi Toll Road KM 21",-6.2649,106.53369,,10/24/2023 13:14,Tidak,,,
2,03.ROSO.00.3172.003,PT SHELL INDONESIA,SPKLU Shell Pluit,ROSO,DKI Jakarta,KOTA ADM. JAKARTA UTARA,"SPBU Shell Pluit, Jl. Pluit Selatan Raya No. 7",-6.7329,106.47547,,10/24/2023 13:14,Tidak,,,
3,03.ROSO.00.3174.011,PT SHELL INDONESIA,SPKLU Shell Antasari,ROSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"SPBU Shell Antasari, Jl. P. Antasari No. 68",-6.1523,106.48302,,10/24/2023 13:14,Tidak,,,
4,03.ROSO.00.3174.012,PT SHELL INDONESIA,SPKLU Shell Soepomo,ROSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"SPBU Shell Soepomo, Jl. Prof Dr. Soepomo SH 102",-6.13519,106.50483,,10/24/2023 13:14,Tidak,,,
5,01.POSO.00.1871.012,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU IBI DARMAJAYA,POSO,Lampung,KOTA BANDAR LAMPUNG,"Jl. ZA. Pagar Alam No.93, Gedong Meneng, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35141",-5.377032,105.250077,1/15/2025 15:24,1/31/2025 14:33,Ya,,,
6,01.POSO.00.5271.013,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN UIW NTB,POSO,Nusa Tenggara Barat,KOTA MATARAM,Jl langko no 25-27 taman kota ampenan,-8.57717,116.081792,9/13/2024 10:43,10/1/2024 10:01,Ya,,,
7,01.POSO.00.3171.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Gambir,POSO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"JL. M.I. Ridwan Rais No.1, Gambir, Jakarta Pusat, DKI Jakarta 10110",-6.179416352,106.8327585,,10/24/2023 13:14,Tidak,,,
8,01.POSO.00.3171.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Gambir,POSO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"JL. M.I. Ridwan Rais No.1, Gambir, Jakarta Pusat, DKI Jakarta 10110",-6.179416352,106.8327585,,10/24/2023 13:14,Tidak,,,
9,01.POSO.00.3171.003,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Gambir,POSO,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,"JL. M.I. Ridwan Rais No.1, Gambir, Jakarta Pusat, DKI Jakarta 10110",-6.179416352,106.8327585,,10/24/2023 13:14,Tidak,,,
10,01.POSO.00.3174.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Bulungan,POSO,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,"Jl. Sisingamangaraja No.1  RT.2 / RW.8, Gunung, Kecamatan Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta 12120",-6.239265329,106.7980628,,10/24/2023 13:14,Tidak,,,
11,01.POSO.00.3374.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU PLN Semarang,POSO,Jawa Tengah,KOTA SEMARANG,"Jl. Pemuda No.93, Semarang, Sekayu, Kecamatan Semarang Tengah, Kota Semarang, Jawa Tengah 50132",-6.97682,110.41605,,10/24/2023 13:14,Tidak,,,
12,01.POSO.00.3671.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Tangcity Mall,POSO,Banten,KOTA TANGERANG,"Jl. Jend. Sudirman No.1, Cikokol, Kecamatan Tangerang, Kota Tangerang, Banten",-6.193154,106.63355,,10/24/2023 13:14,Tidak,,,
13,01.POSO.00.3603.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU AEON Mall BSD,POSO,Banten,KAB. TANGERANG,"Jl. BSD Raya Utama, Pagedangan, Kecamatan Pagedangan, Kabupaten Tangerang, Banten",-6.304077,106.643468,,10/24/2023 13:14,Tidak,,,
14,01.POSO.00.3603.002,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Supermal Karawaci,POSO,Banten,KAB. TANGERANG,"Jl. Boulevard Diponegoro, Bencongan, Kecamatan Kelapa Dua, Tangerang Banten",-6.225983,106.608159,,10/24/2023 13:14,Tidak,,,
15,01.POSO.00.1801.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Rest Area KM 20B,POSO,Lampung,KAB. LAMPUNG SELATAN,"Rawi, Penengahan, Kabupaten Lampung Selatan, Provinsi Lampung",-5.725068,105.66815,,10/24/2023 13:14,Tidak,,,
16,01.POSO.00.7171.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Kawasan Mega Mas Manado,POSO,Sulawesi Utara,KOTA MANADO,"Jl. Laksda John Lie, Titiwungen Selatan, Kecamatan Sario, Kota Mando, Provinsi Sulawesi Utara",1.486344,124.833872,,10/24/2023 13:14,Tidak,,,
17,01.PPOO.01.3175.001,PERUSAHAAN PERSEROAN (PERSERO) PT. PERUSAHAAN LISTRIK NEGARA,SPKLU Wisma Indomobil 3,PPOO,DKI Jakarta,KOTA ADM. JAKARTA TIMUR,"Jl. MT. Haryono No.3, Kav. 10 RW.6, Bidara Cina Kecamatan Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta, 13330",-6.14767,106.9161753,,10/24/2023 13:14,Tidak,,,
