Nomor Identitias,Nama Stasiun,Merek Mesin,Jenis Pengisian,Status Instalasi,Harga Pengisian (Rp),Harga Layanan (Rp),Daya,Jumlah Nozzle,Arus Maksimal,Peralatan Catu Daya Listrik,Sistem Kontrol Arus Mesin,Sistem Kontrol Tegangan Mesin,Sistem Kontrol Komunikasi Mesin,Sistem Keamanan Mesin,GPS,Panjang Mesin (Cm),Lebar Mesin (Cm),Tinggi Mesin (Cm),Berat Mesin (Kg),Panjang Nozzle (Cm),Lebar Nozzle (Cm),Tinggi Nozzle (Cm),Diameter Nozzle (Cm)
03.ROSO.00.3201.001,SPKLU Shell Rest Area,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
03.ROSO.00.3172.003,SPKLU Shell Pluit,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
03.ROSO.00.3174.011,SPKLU Shell Antasari,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
03.ROSO.00.3174.012,SPKLU Shell Soepomo,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.1871.012,SPKLU IBI DARMAJAYA,TEISON,Medium Charging,Beroperasi,2466.78,0,22000,1,33,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.5271.013,SPKLU PLN UIW NTB,Phihong DC Wall Mount,Medium Charging,Beroperasi,2466.78,2466.78,30000,2,100,Ada,Ada,Ada,Ada,Ada,Ada,100,50,180,100,100,30,100,100
01.POSO.00.3171.001,SPKLU PLN Gambir,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3171.002,SPKLU PLN Gambir,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3171.003,SPKLU PLN Gambir,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
01.POSO.00.3174.001,SPKLU PLN Bulungan,Merek Dummy,Fast Charging,Beroperasi,415,5000,50,1,60,Ada,Ada,Ada,Ada,Ada,Ada,50,60,120,20,80,30,60,10
